config       restXOR restCcv  maxDepth  sumArea  maxGap  bad
base           1.46%    3.7      86.0    46605   134.0    0
bend0.20       1.46%    3.7      87.7    45432   128.0    0
bend0.35       1.46%    3.7      97.1    44835   138.0    0
bend0.50       1.46%    3.7      97.4    44763   132.0    0
bend0.70       1.46%    3.7      98.1    44812   126.0    0
bend0.90       1.46%    3.7      98.7    45052   140.0    0
kb60_s80       1.46%    3.7      84.4    44285   136.0    0
kb120_s80      1.46%    3.7      91.1    41788   136.0    0
kb180_s80      1.46%    3.7      90.2    41740   138.0    0
kb120_s120     1.46%    3.7      82.7    40044   123.0    0
kb180_s120     1.46%    3.7      76.6    38599   120.0    0
kb240_s120     1.46%    3.7      72.7    37456   112.0    0
web20_k80      1.46%    3.7      93.0    41166   134.0    0
web32_k80      1.46%    3.7      92.1    40876   133.0    0
web45_k80      1.46%    3.7      90.4    40762   133.0    0
